name,area,command,callsign,postcode,latitude,longitude,easting,northing
Paddington,Westminster,Northern Command,A21,W2 6NL,51.5200723,-0.1833189,526141.0053,181692.21563917032
Euston,Camden,Northern Command,A23,NW1 2DH,51.52762414603048,-0.130774033,529764.9161667487,182623.81759039575
Soho,Westminster,Northern Command,A24,W1D 5ET,51.5124608,-0.1300891,529855.5152778747,180938.81185793574
Dowgate,City,Northern Command,A28,EC4R 3UE,51.510035,-0.0901008,532637.2382,180740.71034430806
Islington,Islington,Northern Command,A30,N1 2TZ,51.5402671,-0.1023069,531703.0527,184080.58804096555
Holloway,Islington,Northern Command,A31,N7 7QZ,51.5615714,-0.1159427,530696.4528253368,186425.2703145175
Hornsey,Haringey,Northern Command,A32,N8 8LS,51.58650993917357,-0.127396737,529831.5189696723,189178.1588438169
Tottenham,Haringey,Northern Command,A33,N17 6UE,51.5923097,-0.0718471,533662.6882626599,189923.14627722383
Edmonton,Enfield,Northern Command,A34,N9 9AA,51.6272314,-0.0690767,533751.9770111429,193811.65469925792
Enfield,Enfield,Northern Command,A35,EN1 4LA,51.66018113,-0.052079162,534830.7055493622,197507.0440658625
Southgate,Enfield,Northern Command,A36,N14 6BN,51.6305411,-0.1273731,529707.6975,194074.6920914114
Barnet,Barnet,Northern Command,A37,EN5 1TE,51.6472546,-0.1859671,525606.3671297785,195831.03495426942
Mill Hill,Barnet,Northern Command,A38,NW7 2HX,51.6149965,-0.24321,521732.3747388806,192146.91118086135
Finchley,Barnet,Northern Command,A39,N3 2RP,51.5979575,-0.1792937,526204.6454719714,190360.3819119655
Hendon,Barnet,Northern Command,A40,NW4 4BL,51.5888473,-0.2286435,522811.31873929646,189263.2939514009
West Hampstead,Camden,Northern Command,A41,NW6 1RS,51.5517011,-0.1927967,525396.5870353766,185193.2094680834
Kentish Town,Camden,Northern Command,A43,NW5 1NS,51.55285,-0.1417189,528934.4729919633,185409.69986885716
Lewisham,Lewisham,SouthEastern Command,E21,SE13 6NH,51.4570297,-0.0131157,538139.2444318258,174988.6736476004
Greenwich,Greenwich,SouthEastern Command,E22,SE10 8UP,51.473859,-0.0136558,538050.9592848782,176859.0914661219
East Greenwich,Greenwich,SouthEastern Command,E23,SE7 7RF,51.4870103,0.0222712,540505.5134563367,178389.82369424822
Plumstead,Greenwich,SouthEastern Command,E25,SE18 1PP,51.487451,0.091512,545311.1211317128,178573.89900433802
Erith,Bexley,SouthEastern Command,E27,DA17 6HR,51.4855234,0.1565418,549832.0104737865,178490.5504486746
Bexley,Bexley,SouthEastern Command,E28,DA7 6BY,51.46108069,0.1534718421493442,549698.8222518043,175766.28163910174
Lee Green,Greenwich,SouthEastern Command,E29,SE12 8ES,51.45637422,0.012624458,539929.4320904961,174964.61164185894
Eltham,Greenwich,SouthEastern Command,E30,SE9 1BA,51.4506963,0.0594041,543197.0272006418,174423.5779686615
Forest Hill,Lewisham,SouthEastern Command,E31,SE23 1HP,51.44248343167412,-0.045017386,535966.1808839614,173311.46736934094
Dockhead,Southwark,SouthEastern Command,E34,SE1 2BP,51.5008984,-0.070795,534003.6644344644,179759.83456650312
Old Kent Road,Southwark,SouthEastern Command,E35,SE1 5AA,51.4871337,-0.0734972,533856.4037433839,178224.2269985706
Deptford,Lewisham,SouthEastern Command,E36,SE8 5DB,51.48488483423354,-0.033779921,536620.5068224245,178047.46053987317
Peckham,Southwark,SouthEastern Command,E37,SE5 8PR,51.4738848,-0.0779762,533584.1239718986,176742.74605688668
New Cross,Lewisham,SouthEastern Command,E38,SE14 5JN,51.47374294643055,-0.049232264,535580.6837986241,176779.7617730546
Bromley,Bromley,SouthEastern Command,E39,BR1 1RH,51.407038,0.0171208,540392.8533176694,169487.01768703532
Sidcup,Bexley,SouthEastern Command,E40,DA14 6NZ,51.4268951,0.0945068,545711.6229090053,171846.07414824946
Orpington,Bromley,SouthEastern Command,E41,BR6 9AX,51.372334,0.1107023,547012.1871857049,165811.29874183633
Biggin Hill,Bromley,SouthEastern Command,E42,TN16 3UB,51.313615,0.0341144,541862.8520259274,159131.1812746115
Beckenham,Bromley,SouthEastern Command,E43,BR3 4LR,51.408058,-0.0342898,536814.3774905893,169503.2870755312
Stratford,Newham,Eastern Command,F21,E15 4EH,51.54375,0.0111288,539558.5451008853,184678.05269731052
Poplar,Tower Hamlets,Eastern Command,F22,E14 0BP,51.510921,-0.0146521,537869.9908317839,180978.56514588685
Millwall,Tower Hamlets,Eastern Command,F23,E14 8JH,51.5008145,-0.0255594,537143.4651470492,179834.22700981947
Shoreditch,Hackney,Eastern Command,F24,EC1V 9EY,51.5266217,-0.0854858,532909.2194263784,182593.56843614852
Shadwell,Tower Hamlets,Eastern Command,F25,E1 0BX,51.5108626,-0.0557892,535015.7000298759,180895.4345974758
Bethnal Green,Tower Hamlets,Eastern Command,F26,E2 0HU,51.5278765,-0.0532637,535140.6077773803,182792.08208316518
Homerton,Hackney,Eastern Command,F28,E9 6DL,51.5486517,-0.0439338,535725.9873697325,185119.6011444013
Leyton,Waltham Forest,Eastern Command,F29,E10 5HG,51.5631166,-0.0167425,537567.5840942616,186778.90223788394
Leytonstone,Waltham Forest,Eastern Command,F30,E11 3HN,51.5606113,0.0086774,539337.0728917303,186548.39501665387
Stoke Newington,Hackney,Eastern Command,F32,N16 0AR,51.5625722,-0.076866,533402.0318969404,186607.0636104463
Whitechapel,Tower Hamlets,Eastern Command,F33,E1 1LD,51.5153048,-0.0691889,534072.8699684519,181364.80279016675
Chingford,Waltham Forest,Eastern Command,F34,E4 6PP,51.62955815164847,-0.004791202,538194.2419481655,194189.94128255633
Woodford,Redbridge,Eastern Command,F35,IG8 0BS,51.6095417,0.0239672,540246.2102,192018.79635387048
Walthamstow,Waltham Forest,Eastern Command,F36,E17 5JR,51.589725,-0.0288445,536649.0286517013,189715.16115410824
Hainault,Redbridge,Eastern Command,F37,IG6 3DY,51.60625060668631,0.1041567104920784,545808.9093,191809.63937533705
Romford,Havering,Eastern Command,F38,RM1 4PL,51.5936769,0.1811242,551180.0370947707,190567.6964914422
Hornchurch,Havering,Eastern Command,F39,RM11 1SH,51.5645114,0.2205803,554011.3105959052,187406.80557907367
Wennington,Havering,Eastern Command,F40,RM13 9EE,51.5062124,0.2204266,554197.4443359461,180923.72381974343
Dagenham,Barking and Dagenham,Eastern Command,F41,RM10 7ES,51.5594685,0.1570282,549623.3562346497,186714.18859764817
Ilford,Redbridge,Eastern Command,F42,IG1 1UE,51.5622201,0.0900463,544971.8522882195,186885.34819890896
Barking,Barking and Dagenham,Eastern Command,F43,IG11 0BB,51.5300005,0.0888737,544992.9028849737,183300.18086200178
East Ham,Newham,Eastern Command,F44,E6 3RS,51.5233978,0.0568595,542793.0726,182503.0397
Plaistow,Newham,Eastern Command,F45,E13 8SG,51.5209984,0.0324908,541110.0448453489,182188.98311568145
Harold Hill,Havering,Eastern Command,F57,RM3 8UN,51.5983747,0.2235414,554101.9909,191178.61205861502
Harrow,Harrow,Western Command,G21,HA5 5RW,51.590961,-0.3663799,513264.68358295143,189276.17206598882
Stanmore,Harrow,Western Command,G22,HA7 1JS,51.6036692,-0.297607,517995.66046250955,190798.10404525785
Hillingdon,Hillingdon,Western Command,G23,UB10 0PH,51.5319982,-0.4520809,507466.90374332503,182589.83633162425
Southall,Ealing,Western Command,G24,UB1 3HA,51.5112741,-0.374426,512904.2536719033,180401.97070172598
Ealing,Ealing,Western Command,G25,W13 8RA,51.5120862,-0.3139067,517101.67680214305,180587.28749242908
Acton,Ealing,Western Command,G26,W3 8EA,51.507054,-0.2769203,519681.31985004555,180087.4524957629
North Kensington,Kensington and Chelsea,Western Command,G27,W10 5LP,51.5218253,-0.2122033,524132.3421232324,181837.80536742427
Willesden,Brent,Western Command,G28,NW10 2HH,51.5443512,-0.2367437,522369.50431861344,184301.49873015127
Park Royal,Brent,Western Command,G29,NW10 7NU,51.5357937,-0.2648245,520444.9497001932,183303.29672282393
Wembley,Brent,Western Command,G30,HA0 2EG,51.5516966,-0.3040197,517685.6313112391,185008.06226044858
Northolt,Ealing,Western Command,G31,UB5 4JT,51.5546449,-0.3595665,513827.2421552631,185248.1111460477
Ruislip,Hillingdon,Western Command,G32,HA4 7TW,51.5883815,-0.4367002,508399.7026916808,188882.81173885125
Kensington,Kensington and Chelsea,Western Command,G33,W8 4PL,51.50292,-0.1900948,525718.0875651785,179773.15659008623
Chelsea,Kensington and Chelsea,Western Command,G34,SW3 5UF,51.4871461,-0.1702819,527136.9968843497,178053.22649519425
Fulham,Hammersmith and Fulham,Western Command,G35,SW6 5UJ,51.4779301,-0.2009033,525036.2428545601,176975.68273425428
Hammersmith,Hammersmith and Fulham,Western Command,G36,W6 7NL,51.4960867,-0.2242935,523363.0383597131,178955.12762352353
Chiswick,Hounslow,Western Command,G37,W4 4JY,51.4906046,-0.2690538,520270.48625811434,178271.07439760986
Heston,Hounslow,Western Command,G38,TW7 4HR,51.47495484943244,-0.343401716,515148.4605915054,176411.31936446845
Feltham,Hounslow,Western Command,G39,TW14 0LH,51.4606344,-0.4138853,510288.1037624909,174710.41726712446
Hayes,Hillingdon,Western Command,G40,UB3 1LL,51.49438,-0.4316736,508972.00193518365,178436.55042594747
Heathrow,Hillingdon,Western Command,G56,TW6 2RR,51.4802267,-0.4590324,507105.94488436874,176822.27040386107
Clapham,Lambeth,SouthWestern Command,H21,SW4 0JT,51.4649299,-0.1408793,529241.0369934911,175634.14469171752
Lambeth,Lambeth,SouthWestern Command,H22,SE1 7SD,51.4928125,-0.1212761,530523.1108,178769.51872425055
Lambeth River,Lambeth,SouthWestern Command,H23,SE1 7SD,51.493069,-0.1222462,530455.0374048844,178796.3144713447
Brixton,Lambeth,SouthWestern Command,H24,SW9 7NP,51.463738,-0.1094055,531430.6210800953,175557.57204059686
West Norwood,Lambeth,SouthWestern Command,H25,SE27 0QA,51.4259963,-0.1055418,531807.5424,171367.55378549604
